0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:23:42 -0500] "GET /ProjectNarwhal/ng/index.html HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:23:43 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:35 -0500] "GET /ProjectNarwhal/ngdemo/index.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:47 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:47 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:47 -0500] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:48 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:48 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:48 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:48 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:48 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 26726
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:24:55 -0500] "GET /ProjectNarwhal/ngdemo/index.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:51 -0500] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:26:59 -0500] "GET /manager/status HTTP/1.1" 401 2536
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:28 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:28 -0500] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:28 -0500] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:29 -0500] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:29 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:29 -0500] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:29 -0500] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:29 -0500] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:31 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:31 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:45 -0500] "GET /projectnarwha; HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:31:51 -0500] "GET /projectnarwhal HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:32:03 -0500] "GET /projectnarwhal/ng/intex.html HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [28/Sep/2017:23:44:53 -0500] "GET /projectnarwhal/ng/intex.html HTTP/1.1" 404 1098
127.0.0.1 - - [28/Sep/2017:23:48:07 -0500] "GET /ngdemo/WEB-INF/classes/target/ngdemo.war HTTP/1.1" 404 1110
